Metric,Value
Borrower,Microsoft Corporation
Ticker,MSFT
Business,"Global technology company with businesses spanning software, cloud computing, enterprise technology and digital services."
Model,Gradient Boosting
Model-Implied PD,4.46%
Underwriting Band,2% <= PD < 5%
Illustrative Spread,550 bps
Illustrative Coupon,10.50%
EBITDA,$150.0mm
Proposed Facility,$250.0mm
Maximum Facility,$375.0mm
Initial Net Leverage,3.67x
Maximum Net Leverage,4.50x
Interest Coverage,2.86x
Minimum Interest Coverage,2.75x
LGD,45.00%
Expected Loss,$5.0mm
Annualized Fee Income,$0.8mm
Risk-Adjusted Yield,8.79%
Leverage Covenant Breach,False
Coverage Covenant Breach,False
